Image,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
AET1,26.49030334807909,6.115643573615204,-2.829539520957374,40.13367255218649,9.901657266675796,4.807787758830406,0.8822277549212507,1.3023561164988102,-1.4336482506666717,abnormal
AEU1,20.592381162724145,0.9484914901484578,-0.4272449570405128,37.68668732796444,2.4023474017180293,1.5891242896350157,1.3132702372698406,3.0842201093604915,-1.381926672067684,abnormal
AEV1,19.53439263323812,3.9013165610624383,2.937681335850407,35.416068247722215,7.402537510282291,5.789535651466853,1.2995023307692788,1.5954029649535553,1.978701406511723,normal
AEW1,19.439802400317028,2.3248887826516946,0.6520975663332165,36.951434194468895,4.922591091395297,2.0594604753770156,1.4025643314509042,2.161538959642776,2.9486207439049523,normal
AEX1,25.523711354625732,1.0708054273457892,1.0259125891787526,41.900531890516355,2.5586660775192,3.003648263271061,1.0565398989870252,2.5890588011250113,2.88417245288253,abnormal
AEY1,19.414544910379583,2.6415139769029405,0.7778644699452885,36.639523000489184,5.14567396968386,1.745566509675569,1.3854435055761223,1.7866042620808542,2.349387342684394,abnormal
AFA1,18.010256918050263,2.93734444553145,-1.3965762742671346,35.99236864843643,6.331690295858138,3.1307252864998083,1.5274717791941816,2.25332755215081,-2.3177295835779654,abnormal
AFB1,26.083759236378686,2.987841133931294,-0.7618539803220964,41.58341701678216,5.449865874023089,1.716391491730576,0.9823549210717762,1.631911820344879,-1.9211055602386502,abnormal
AFC1,13.30130303973272,2.791599022005967,1.4122408062896352,30.411285234255573,6.33236552464322,3.3546393044853535,1.9085207714793857,2.2572102641826177,2.436622645303762,normal
AFE1,15.423815497609308,2.5447750967276703,-1.0906353866243694,34.045819726718754,6.15621879902869,2.6355226927660693,1.7734433409086527,2.348620340249597,-2.255980142509909,normal
AFH1,25.89506433042333,5.997587428368242,-3.0279067930612196,39.95354907579041,9.634987889791118,4.94344278182868,0.9183234646150777,1.247487111241811,-1.2775333117828926,normal
AFI1,11.433619948755666,4.092021928041291,-1.301165447212823,26.52959438235246,9.536156754893788,3.157191843051583,1.9436235994925444,2.1971402078710143,-2.331326520707854,normal
AFJ1,9.55725831230053,2.7144237045615,0.6418022522882032,25.563513643662358,6.886573885207659,1.8749098048657493,2.372661962933701,2.562030978465101,3.2518338981775257,normal
AFK1,26.731024141702505,3.0122501194924483,1.3500411691070229,41.377330233648344,5.085839859310191,2.4604627045531706,0.9161835235432678,1.3896501691271272,1.699260281997098,normal
AFL1,11.074538424796328,0.44322943884836813,0.5487617349768,30.018747571067475,1.6868596760366417,1.7204224648031632,2.392862997784642,4.691900011088534,3.744270420608075,normal
AGA1,11.787283004278905,3.220325488754094,1.333874390950917,28.5879356367445,7.926794786499042,3.528707616143982,2.0621015956736177,2.3340214904305694,2.7371509297113117,normal
AGB1,20.297696533779835,6.718007825750575,4.059584882919646,34.039396211014996,11.026226776134138,6.975607124706651,1.1172600079837436,1.2174448079566522,1.407077192173848,normal
AGM1,2.962363960963457,0.22375561642380712,0.26993481132959063,15.922440253149265,1.191101215671265,1.6197141904131456,5.343249715797179,6.799409134394459,6.775711049862407,normal
AGO1,3.5225265212214034,0.5981812004836885,0.33599310340979577,16.596430844420723,2.8515714946379624,1.8085926851942387,4.660941120241809,5.986970694634874,6.374991824901366,normal
AGV1,22.641281501317263,8.737215534271101,2.3544886571690298,34.494744004857345,13.195817876174203,4.174317457795749,0.9078048965285325,1.0555521595429553,1.6432900146963652,normal
AGW1,2.766006235071011,0.07774180513509638,0.18546755836848883,15.750608721240624,0.5975851287247137,1.257121070778816,5.631146781563354,7.969060900362146,8.255031036822505,normal
