Image,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,SRE_deg0,LRE_deg0,GLN_deg0,RLN_deg0,RP_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,SRE_deg45,LRE_deg45,GLN_deg45,RLN_deg45,RP_deg45,LGLRE_deg45,HGL_deg45,SRLGLE_deg45,SRHGLE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,GLN_deg90,RLN_deg90,RP_deg90,LGLRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRHGLE_deg90,SRE_deg135,LRE_deg135,GLN_deg135,RLN_deg135,RP_deg135,LGLRE_deg135,HGL_deg135,SRLGLE_deg135,SRHGLE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura,label
AAA1,42.714881268828634,39.962581959950384,41.213738259790894,92.11598390388306,88.11830221378543,90.05878013348791,1.7668514998960125,1.7876300882306837,1.7765349578102232,218.72165514797095,255.0,75.16825335810451,18.29575185790372,-1.4478856391353512,0.8746194984701794,626.6279949162914,2554.9754287417823,46420.34398192459,0.5029434974747474,0.1416651756698864,27171.18114634491,0.10692577658759889,25022.080110754545,163485.01837352707,0.8691813428237208,269.05888944411635,2749.695437544481,47593.8895652569,0.5211410984848485,0.14194135933699042,27024.099607807508,0.10913140458685995,25046.32296695332,120922.0777722255,0.8778203640159559,529.7482831814209,2576.9786178049694,47089.17236858534,0.5056186868686868,0.14142240704761166,27180.336777375454,0.108419718991492,24973.60114209927,135111.87623298788,0.8670396728052767,262.0384819011027,2767.2067494592266,47369.043382897944,0.5216934974747475,0.14208313551452467,27034.211378178465,0.10927780181956795,24976.536910846942,99979.87218079233,5.38852560694666,62.55842583284927,450.3414037412713,67.94695143979592,normal
AAB1,50.925730263069454,46.58723501498837,48.38665519574501,98.59570414812222,91.78823156415775,95.08096160204163,1.4777911664446044,1.4978481787181925,1.4901275262529812,210.70011157263647,255.0,80.820841918005,13.259924747416395,-1.6443736804538736,0.8848850169225025,410.3631982446746,2702.508952943174,57273.39614977732,0.5508100253222836,0.12877655016547435,30213.260843444303,0.09406479388734823,28635.243344591614,38154.67569579584,0.8794766445624516,171.22133147878864,3017.932186887526,58489.04023518998,0.5689240906998159,0.13426703702902795,29640.88970095467,0.10142786218820776,28338.93814029463,35835.8929253335,0.8856423754742783,339.07093368957345,2707.6058701033357,57264.29435647584,0.5492705455801105,0.12956983141757844,30123.183922046286,0.09627717087494729,28477.98208060846,38966.567731457835,0.8783178350447491,168.44091824712098,2988.8109282556093,58241.86878745265,0.5678306284530387,0.13351657574614678,29700.714352678853,0.10108882210785071,28390.42873578072,35857.20431251821,6.0218350786161405,70.18667775549919,474.58157470972117,76.20851283411533,abnormal
AAC1,61.30261962077786,45.53124792190347,46.11378880776,104.19127349058397,78.74363269228769,79.78410006998404,1.173572254687775,1.1862640403073346,1.1865472219483173,206.6984975639167,255.0,81.61800162674771,11.697959330693706,-1.775398863242469,0.8426614730129739,152.74510282328336,3138.6602765191124,57618.23039386546,0.5261517018779343,0.13557239756058598,22445.818287440456,0.09008140912161108,20156.538471877902,36065.73756244917,0.8456100506886721,92.59689939698157,3567.1800615234265,60834.558919231065,0.5504633705007824,0.14099171853321463,22088.51997290304,0.09815602802526335,20172.295975809717,32144.373493842104,0.8310515830115934,216.93982708380798,3019.8344105620376,54107.243569604165,0.5097870207355243,0.1354393876143389,22383.89180147015,0.08880463177280186,19692.11017047958,40150.02400681112,0.8431550802609944,99.7829610088935,3558.9365323182064,60270.54911454681,0.5492040786384976,0.140771167511763,22063.845248828486,0.09730175248904308,20092.092875323913,32394.95922796941,7.777768911232583,69.31782750958648,519.135893430786,77.09559642081906,abnormal
AAD1,52.813478809470794,42.16970324090447,43.90474194576517,100.37096617949231,81.65288812443352,84.81734421383301,1.4244722023228553,1.4667434142641096,1.4543432105188123,216.34575905623885,255.0,74.92379973836134,16.460720311824602,-1.5477421491733288,0.8500098060720502,455.7498608955399,2087.4909948165287,46620.923565759804,0.5346161072144289,0.12025927758256967,27571.652809910094,0.08209048539665954,24717.804603989756,47299.4532609014,0.8531607304669823,220.3379801521028,2378.6134766945934,49966.991442492166,0.567157753006012,0.12257941227681798,27303.318615340024,0.0864131770515949,25088.287912018994,39232.68464203393,0.8554641374026634,518.9004524234914,2096.747132730102,48068.388507866985,0.5433053607214429,0.11844574339763335,27765.51293873552,0.08088309363985127,25158.448515153355,43859.82950550401,0.855205332838589,205.57202703073924,2429.8402054775706,50497.840562590995,0.5699367484969939,0.12373634121808819,27172.99450594731,0.08841344878064934,24980.41222264008,39115.454674065324,6.275732292471654,65.84730969638329,500.68193114417306,72.12304198885495,abnormal
AAE1,50.00561475339626,45.54909804190294,44.83502646771624,99.1362113057625,91.36192034342986,89.9724722970587,1.5166930723292895,1.5372296572628688,1.5417196008116894,218.99996573758415,255.0,73.24524534349003,18.231870000436313,-1.474499843379206,0.835531385419749,500.9500715485597,2218.225471287252,42312.710010576746,0.4668041356877323,0.12932964811301162,32640.282196851862,0.08771435490189067,28947.50872617971,63155.68826603621,0.8356351035241509,196.94914763263475,2644.035412713816,45551.92898628391,0.5012996631040892,0.1333593853825081,32190.2629810408,0.09513578981001704,29242.239716366854,49312.265341888386,0.8321271824866766,356.24449291836925,2291.6859811361333,42443.17392239393,0.47265625,0.13029690273571173,32514.999784939628,0.08845422821393828,28764.7553642359,59097.633168453714,0.8345695342208853,183.60512798252088,2673.7740301833283,45460.312613042785,0.5017933898698885,0.13427615382200717,32100.90347412134,0.0959073143012722,29096.42747444802,49395.42327560012,6.946691963750364,69.06512654656719,595.7498177576907,76.01181851031755,abnormal
AAF1,82.0545871559633,72.44688700697876,59.653489375049006,114.84524238656051,103.16886885194245,85.33065901360229,0.7365209929059277,0.7534059426082749,0.7975324986139518,191.8744295459892,254.0,88.31520437814257,7.319237967040481,-2.110358150381628,0.8636097490892483,130.99953107819675,4016.542736562965,87398.09962162861,0.8259081196581196,0.12467082547506074,29326.346080460513,0.08701369985489427,26728.302743675707,46268.01654970571,0.8694702478677808,52.64190858554663,4458.246185917233,93051.725,0.8648504273504274,0.12793217246183833,29082.020815318097,0.09302294286821394,27022.57612434132,39946.46010654725,0.8677545975993354,85.3860094469972,4033.7285434272676,88894.59188329424,0.8312232905982906,0.1244515658641664,29419.69979274445,0.08749700410845808,26927.01554162166,44750.22778027698,0.8691415148496959,47.27587245445629,4438.22192275911,92967.08735742253,0.8646567841880342,0.12705576160881688,29096.857109760524,0.09150896442268343,27038.088026637855,39915.08819145732,7.764039833764604,93.26509284295855,494.85360235125904,101.02913267672315,abnormal
AAG1,29.890212000388992,22.47932023728484,22.611577360692404,77.79042185924169,60.637897391508076,60.88590796682263,2.3662213853059306,2.4119682705501284,2.409294258797945,217.4641592920354,255.0,75.28726834312934,17.294330831247294,-1.4957047134539887,0.8209225049528566,258.5520232178003,3925.377255896187,38009.072088601264,0.4145049778761062,0.20083860900524483,14853.688444474097,0.1340978686376405,13680.667390807552,22661.084631550857,0.8175530471925664,139.60086617035736,4471.917761234135,39809.18278091264,0.4374101216814159,0.20389264838702104,14521.70882134446,0.1406146182719298,13572.501859829197,19739.484375740907,0.8223398500636545,435.940734218369,3745.969046328908,37555.90260092116,0.40829646017699117,0.19835734642203207,15063.28630452452,0.13104317591177633,13860.931789639386,23139.7137632078,0.8160342181266296,137.48675392008093,4499.902977996965,39638.97698533131,0.4373893805309734,0.20476748583761925,14482.550850404654,0.14187727761975075,13504.62515243082,19772.511665402126,7.060862588738695,40.75249729905379,571.2985518439855,47.81335988779249,normal
AAH1,42.426058036945136,38.37273831679074,35.8278320581748,92.02721982268777,84.7967431909233,79.2336239066444,1.777801190476759,1.8013328492265201,1.812687959584675,214.9986085263303,255.0,77.26288631749297,15.71608626204318,-1.5531930030141674,0.8537814018522412,312.33331501881815,3307.853328205269,50315.619131342544,0.5096466173835126,0.163492867077833,26135.70047526167,0.11343629826203869,24537.179251248166,35041.74605093267,0.8485625195063273,189.2666885547311,3824.911484667411,52022.08718891588,0.5330491151433692,0.1689594638741913,25416.179447107494,0.12131650272744647,24084.048764272116,31948.543489395233,0.8503261436291486,288.8656139668066,3252.324706013177,49246.60301353868,0.503626232078853,0.1627254152320739,26077.49131244614,0.11147097489999953,24249.466396401538,36425.01926551945,0.8459726466959661,169.59354804674106,3794.745957637625,51447.83601065654,0.5307879704301075,0.1688130574749045,25431.318509139826,0.12120691063204633,24035.348073085566,32350.284482076444,6.852365936035291,60.123676994736776,544.6416720534367,66.97604293077207,abnormal
AAI1,55.617491883116884,48.611781584643424,51.636028992936886,100.93932161414813,90.48777137636773,95.80252054868652,1.3497145542255813,1.3701458084864768,1.3622251968149715,196.7775511221235,255.0,88.71639121001076,8.395628395162078,-1.9688283557449309,0.8762319394096116,121.71474903961207,5888.023253983249,92927.96814975754,0.816149259868421,0.16126650107057838,23815.7618159204,0.11650023162412244,22753.92067741919,28855.68530763902,0.8686890385910534,63.76164150379169,6460.604760115629,93726.1858423365,0.8378970497532895,0.16598535895668212,23303.28958648029,0.12299440097426888,22313.498609496222,27766.100585046428,0.8718190904841975,112.29412611344773,5729.635780652796,90439.9559098687,0.8034924958881579,0.15981040211248174,23861.506084981847,0.11491854217383658,22583.66481987783,30190.95789288513,0.8678735446026824,64.37161440935026,6442.49399866381,93376.70984710607,0.8366377981085527,0.16631769822379536,23324.326007326006,0.12319792751057489,22332.038124511168,27858.685204383317,6.849154135338346,72.33463181883604,546.5810739704783,79.1837859541744,abnormal
AAK1,7.569561411750743,6.554142332247041,6.489221974413625,39.91668852125094,36.32857590930929,35.89089895195918,5.600916112349193,5.680442448805634,5.6835755834439246,232.59434666719415,255.0,61.59322042121978,34.83103673882276,-1.0913045224578048,0.7604272963717165,635.1989782813437,4641.360055937669,18894.882188418618,0.2484048888384755,0.2945010120619483,8008.82097091812,0.1919142100586012,7804.378706539059,8999.007306144582,0.7451770152462168,324.8076188961349,5515.659827156566,19518.314458406236,0.26742570326678766,0.29902873367578164,7517.259954403266,0.2033225580834738,7374.157325725478,8146.346455649224,0.7655256137176314,855.1231941391941,4365.273816849817,18664.090871794873,0.24192519283121597,0.29176102173600393,8257.139106227107,0.1869357978044791,8061.8603690848195,9114.400263736265,0.7449161655445132,372.13118462725896,5472.81236526229,19425.907353684826,0.26636938520871145,0.29902043397257294,7503.715806563224,0.20399017093180769,7326.23196600677,8260.72741064062,5.636716992142105,15.54419073876637,555.2424824056301,21.180907730908473,normal
