Image,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
ADF1,59.93160364354165,52.215337281238625,54.74052447591006,105.46020196315165,93.39005141218335,97.80172782929196,1.2331115723915271,1.2630483155599772,1.2547400920263434,abnormal
ADH1,64.67910827485318,62.36815994233256,61.2708143405347,108.25150951021783,105.75570754341327,103.98774915297328,1.1243649744960889,1.1361397172217942,1.1422760311735438,abnormal
ADI1,21.947889420521,19.950723019670388,20.170919723551304,68.4538575817378,63.71208948777953,64.43608139459725,2.943364634754297,2.976054746189388,2.966658881320189,normal
ADJ1,78.23488853643492,70.66177636796193,72.770349810556,114.01837698165461,104.49513162831846,107.45811293714857,0.8161239433803666,0.8279478700294987,0.8261414491849715,abnormal
ADK1,40.50353765444881,28.39391063252111,28.36640896435885,90.11188474887122,64.79486813100218,64.80094151779629,1.8600204677237209,1.898514860359936,1.9118240498237888,normal
ADL1,31.461426033128905,28.64628384740725,28.59248827059912,78.65732130925686,74.66133116279494,74.51131363225399,2.280334165448783,2.3030521942642666,2.3029809219915367,normal
ADM1,38.401543207707604,34.22791125852945,38.277408451100136,88.5890628555133,80.43700386075231,88.40776902647175,1.9403087443237272,1.9698429066228862,1.9413621534320413,abnormal
ADN1,73.90773844641102,63.77243526712553,73.35525073746312,112.23223359351567,98.70093564608514,111.77835748052183,0.9159294539375323,0.942355400051794,0.9182402369763442,abnormal
ADO1,47.58344478535651,42.548125420676755,43.44261750539778,96.2227562026341,87.78235669146771,89.57480415500186,1.5937732817593637,1.6229801169442972,1.6134014258859954,abnormal
ADP1,35.006531511147315,29.36946329984614,32.69536911334359,81.11796420268722,69.02248219211377,76.20958555837277,1.932496994291983,1.9642652574767685,1.939664757790886,normal
ADQ1,25.652168157786136,19.616587633441565,21.368991722924306,69.3393349868761,55.287651463920916,60.00684737336144,2.5183809167266964,2.5867658916729126,2.553604568647778,abnormal
ADR1,55.79670123059964,52.86868796134609,53.80050274811598,102.97045476991751,98.76882793683252,100.34615513588804,1.35077336986224,1.3603339645335208,1.3579033430285283,abnormal
ADS1,81.49459013036653,70.59313903487816,81.33427615862398,116.18403912819093,102.1778122188527,116.04994212071216,0.7612414320379725,0.7870093999663171,0.7619305072631684,abnormal
ADT1,22.827009111731087,19.52268656929411,19.18798207621888,70.46075515783919,61.63622922494793,60.5787065280252,2.8644948279917246,2.9027978493525057,2.904171242463053,abnormal
ADU1,71.00478883912879,58.97606949979685,60.320957220008125,109.4171424865297,93.4688171855213,95.52102384511751,0.9748789057754788,0.9942846945582631,0.9926751283628661,normal
ADV1,69.85268530489118,60.283283505709974,61.63867566257272,109.86350647510905,96.8216899310478,98.95938906006658,0.992966843028429,1.025464048807881,1.0191728805187823,normal
ADW1,15.956432668669763,15.16782299918055,14.975814570570101,59.91269843631033,57.91589169024407,57.244474795715696,3.607252091650212,3.6321472278607527,3.6358027315090617,normal
ADX1,62.15265254167693,59.06558265582656,57.65622485012729,106.99615588752847,102.8834907326114,100.48961413355715,1.1782891450563944,1.189432217481721,1.1983339027208757,abnormal
ADY1,55.897689142133586,50.17011712567268,44.83615463754353,103.37780276186813,94.06800044730102,84.5805266600306,1.34440002114897,1.3751250889853839,1.4198178891840376,abnormal
AEA1,74.37826410658307,55.39811128526646,53.620638714733545,110.87075014086712,85.35297824984949,82.57201008284723,0.8998711456179765,0.9352478588338025,0.9404783124988758,normal
