Image,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura,label
AAA1,5.38852560694666,62.55842583284927,450.3414037412713,67.94695143979592,normal
AAB1,6.0218350786161405,70.18667775549919,474.58157470972117,76.20851283411533,abnormal
AAC1,7.777768911232583,69.31782750958648,519.135893430786,77.09559642081906,abnormal
AAD1,6.275732292471654,65.84730969638329,500.68193114417306,72.12304198885495,abnormal
AAE1,6.946691963750364,69.06512654656719,595.7498177576907,76.01181851031755,abnormal
AAF1,7.764039833764604,93.26509284295855,494.85360235125904,101.02913267672315,abnormal
AAG1,7.060862588738695,40.75249729905379,571.2985518439855,47.81335988779249,normal
AAH1,6.852365936035291,60.123676994736776,544.6416720534367,66.97604293077207,abnormal
AAI1,6.849154135338346,72.33463181883604,546.5810739704783,79.1837859541744,abnormal
AAK1,5.636716992142105,15.54419073876637,555.2424824056301,21.180907730908473,normal
AAL1,7.987982006687354,68.15492364218032,541.5295211000473,76.14290564886768,abnormal
AAM1,6.333089702685869,59.75223253928836,512.8458264077512,66.08532224197423,abnormal
AAN1,7.631175794714669,101.37011282216689,529.7156864608077,109.00128861688155,abnormal
AAO1,6.933359635594132,69.72026481572279,581.4832208068647,76.65362445131692,abnormal
AAQ1,4.6594198969910545,22.49491729837976,478.70302536969206,27.154337195370815,abnormal
AAR1,7.520147789439033,54.09142655196225,476.2925980312178,61.61157434140128,abnormal
AAS1,6.160414070659779,23.026150903885135,472.38534998425854,29.186564974544915,normal
AAT1,5.166585213032581,25.514853953487126,533.0130291730644,30.68143916651971,normal
AAU1,5.774338611083275,79.16009710788646,494.56807105635136,84.93443571896974,abnormal
AAV1,7.445917170830666,75.8036596801088,246.67107538298194,83.24957685093946,abnormal
AAW1,5.34918697915037,46.37312712894788,504.9630471859011,51.722314108098246,normal
AAX1,6.196913111785696,69.7021304322199,478.56793722934447,75.8990435440056,normal
AAY1,7.481729375930288,97.59212357167952,582.6442280945759,105.07385294760981,normal
AAZ1,6.186614466815809,35.871457423589725,560.0615064269412,42.058071890405536,abnormal
ABA1,7.060170260480831,69.95115124497117,562.1754103493001,77.011321505452,abnormal
ABB1,6.606578540507112,86.93932443385745,473.05853507313356,93.54590297436457,abnormal
ABC1,7.315593929879644,97.13262921045902,503.3489170880641,104.44822314033865,abnormal
ABD1,6.923515295000421,42.61997256011742,585.5842949993369,49.54348785511784,normal
ABE1,7.91912003981547,52.86778713034546,537.95090082167,60.78690717016093,normal
ABF1,7.548721616306097,67.10055125301666,472.8441691860636,74.64927286932276,abnormal
ABH1,4.242409833755987,32.30659052239664,589.340906700326,36.549000356152625,abnormal
ABI1,7.77691930340937,86.47475533131848,463.19450076652987,94.25167463472785,abnormal
ABJ1,6.995963995796464,69.90569506896358,464.4375048311046,76.90165906476004,abnormal
ABK1,7.015054262911194,60.69082999087503,485.937188885872,67.70588425378622,abnormal
ABL1,6.7698711716091395,69.38457346128385,639.2156489306831,76.15444463289299,abnormal
ABM1,8.225784962472797,85.31263657026562,549.6778468839065,93.53842153273843,abnormal
ABN1,7.520733386738193,81.41240354429054,551.4890205846145,88.93313693102874,abnormal
ABO1,8.307875109681193,92.57074501575627,543.165892518878,100.87862012543746,abnormal
ABP1,7.45233523649432,50.44616830572625,599.8570040800467,57.898503542220574,abnormal
ABQ1,6.542602887487554,59.62811187208114,580.9724828555853,66.1707147595687,abnormal
ABR1,7.679354110393557,62.56600898422322,502.02119542178895,70.24536309461678,abnormal
ABS1,6.784803552416318,65.83846757761573,568.931362770877,72.62327113003205,abnormal
ABT1,5.543374245891409,36.83971427604562,490.5168368702783,42.383088521937026,normal
ABU1,6.9161675522427295,56.2282838852456,480.50160194029405,63.14445143748833,abnormal
ABV1,6.175692763607025,45.766632187555615,621.7011564057792,51.94232495116264,abnormal
ABW1,7.157389544193113,71.95678540318525,251.89192411693318,79.11417494737836,abnormal
ABX1,7.462638443602448,55.58789338304986,457.6116425476249,63.05053182665231,abnormal
ABY1,7.492603109302568,90.72206954601039,471.8512464241929,98.21467265531295,abnormal
ABZ1,6.948448793153949,39.99402689674297,421.94197120708753,46.94247568989692,abnormal
ACA1,4.474431852664032,24.781815837658698,467.0013669690568,29.25624769032273,abnormal
ACB1,4.286349047327508,24.170608483309618,560.6919374247894,28.456957530637126,normal
ACC1,6.305446124737013,52.720032850023905,464.8751645721125,59.025478974760915,abnormal
ACD1,6.836247954404379,53.62454661458347,472.1797229187245,60.46079456898785,normal
ACE1,6.083639176662432,46.41880235655841,467.3301778808971,52.50244153322084,abnormal
ACF1,7.754417259861691,89.34240710371895,566.7300386392498,97.09682436358065,abnormal
ACG1,7.349716161025078,74.61158691619006,587.7974443918597,81.96130307721513,normal
ACH1,4.459874880268199,16.86532408222385,598.2502911867477,21.32519896249205,normal
ACI1,6.545169835611012,50.59486763429431,476.0598355869009,57.14003746990532,normal
ACJ1,6.149961018519881,35.31596355266833,577.184329482672,41.46592457118821,normal
ACK1,4.975331528562461,25.450906420046604,239.86927765529765,30.426237948609064,normal
ACL1,7.504872938922019,76.50280152454293,463.8275362318841,84.00767446346495,abnormal
ACM1,6.9618622633328515,51.68804203985051,564.7354436608168,58.64990430318336,abnormal
ACN1,7.103824838029818,37.34804597427096,512.0656168800676,44.451870812300776,normal
ACO1,6.783370027364537,60.29990157485702,552.3064257946489,67.08327160222156,abnormal
ACP1,6.835749506903353,69.25224344899577,670.9535813893154,76.08799295589913,abnormal
ACQ1,7.362787532326119,69.32839300113521,455.56654243941165,76.69118053346133,abnormal
