Image,mean_y,mean_u,mean_v,std_y,std_u,std_v,skew_y,skew_u,skew_v,label
ADF1,54.81037226375975,-0.03330953838179829,15.441089988531221,97.41494328375603,1.4463201810903796,26.965320835647603,1.2470458218573013,0.9703144888563158,1.2793996110181962,abnormal
ADH1,62.93403609515126,-0.8181520872643989,13.7851306527869,106.26644689242671,2.186291367124148,22.64888342577761,1.131797575925861,-3.240052312592825,1.1320561894261936,abnormal
ADI1,20.572978197767146,-0.1975776980329606,5.240421610845296,65.17122351310219,0.7440600385412299,15.960529369247737,2.9604119708695196,-4.637588966404639,2.996924262755067,normal
ADJ1,73.16651427879106,-0.1939094677945171,19.00067660146268,107.63375198970319,1.5980992851933538,27.28269211580654,0.8220000880193877,-0.6036999695936878,0.8350830768669618,abnormal
ADK1,32.011553921906994,-1.7921058995421173,13.123452578173534,72.25986662273553,4.206932480864763,28.819595797773115,1.8770812829395551,-2.3799493171555235,1.8760977580800033,normal
ADL1,29.481878665181895,-0.4372807727894267,7.455189656019454,75.80558414820085,1.2100370331160009,17.5475301519113,2.2952552403235673,-3.7012670456393764,2.258533084769273,normal
ADM1,35.937469891286774,1.1520568794316284,9.817315619707522,83.70710853800809,3.0874685457021127,22.331379848718925,1.9509418691870912,2.954791742005615,2.019059662935425,abnormal
ADN1,67.89533188135037,2.688217977712229,19.945980055719435,104.13046853051358,4.65435670581414,29.930648649399895,0.9251288153581441,1.5486662536771127,0.9732124043487347,abnormal
ADO1,44.15565800837419,-0.35019339766955876,11.695795701885505,90.43796505339007,1.2160750593870175,23.31666938506055,1.6079209549358993,-3.0665131715568603,1.6477885162245163,abnormal
ADP1,31.434099957763895,0.6214459076236171,9.673280191269194,73.3876528976927,1.6100750723658672,22.323594524539942,1.9440701972573247,2.453690742829698,1.9941827687016564,normal
ADQ1,21.621000276421622,-0.12318215406417596,7.810439958108497,59.93682168388473,0.7741734251822864,20.553028288644803,2.549631682180239,-2.2357666935143365,2.5494336173130825,abnormal
ADR1,53.85039081454466,-0.024146703548596493,12.46764723153714,100.17928674511553,1.1527969480878646,22.64370597203346,1.3558187169685991,-0.4782354797041592,1.3672963925720105,abnormal
ADS1,75.0771625445362,3.0806224749163906,21.897133943075552,107.84065649636345,4.89311020133064,30.999340970754318,0.7700721547509897,1.3012755344414884,0.8155970729214679,abnormal
ADT1,20.472522697272186,-0.6316665727190341,5.903225228150041,64.0952603271384,2.1640906999551333,17.897681462474996,2.882845456687097,-3.8778096962332396,2.9158214458462197,abnormal
ADU1,62.72597378236117,-1.1818506968696771,19.327365065669643,98.38575659310985,2.456915909508698,29.063442956662172,0.9839137526655319,-2.0845475091075047,0.9971888708423877,normal
ADV1,63.299049349547495,-0.8157510840874791,18.077378023324716,100.85225605165842,1.8115866460972558,28.13207747013786,1.0080373786849917,-2.1003259722632173,1.046486248287163,normal
ADW1,15.381728329496234,-0.19964129628906965,3.499358703710929,58.41534408764005,0.9542957127432006,12.85198777546966,3.622385649699937,-5.966206785965516,3.6311681102847055,normal
ADX1,59.827949761846114,-1.0682792765048847,13.570728730393366,103.79692837491515,3.1410496939147543,23.017077471398395,1.1847531549253352,-3.147135885149771,1.1939182318368144,abnormal
ADY1,51.274589434947764,-3.1675607312440635,13.023083966445077,95.6427568136818,6.99932808244064,23.914913641539776,1.361397704374413,-2.3181097460904465,1.3902453726996749,abnormal
AEA1,60.870545105799366,-3.565060505485892,22.574668985109717,92.51720097434985,5.516753910298128,32.96182581620715,0.9154134361401067,-1.2099041309678493,0.9200678888513785,normal
AEB1,65.06156527269445,-1.6187197475750448,19.915816838724858,98.93214993738027,2.448681565757086,29.119347034902987,0.9144895477021069,-1.3231244825268251,0.9311779383203406,abnormal
AEC1,46.02927112497891,2.0241337549896006,16.804410777534155,86.43869245796131,4.31494784381434,31.111637999849584,1.3900220644178092,1.9437630422362742,1.4259782677753472,abnormal
AED1,28.48350120115932,0.1631889772322198,8.190156538181364,74.51230525341262,1.074558246229984,20.676581281893508,2.3067605792901347,2.5795378084163,2.337099528060381,abnormal
AEE1,31.35487620448637,-1.2885627656096754,9.40505950435094,72.59688026758384,3.081139015413875,20.794938453650232,1.966098870564804,-2.4039865832169376,1.9571465419955234,abnormal
AEF1,38.41209317512022,1.2872051031487524,10.892704746393672,85.17738900526851,3.2946536903708883,23.567287484539527,1.817548119028931,2.8508180536894687,1.893655216361089,abnormal
AEG1,10.710086632950397,-0.3910135177680273,2.9219950095455003,47.60284554161474,1.9248487127322655,12.501868256690075,4.358446463197498,-5.630903740000381,4.38804161874568,normal
AEH1,57.55117378857701,-0.06643113624726353,14.550055415910254,101.16989116899495,1.1811332804993946,25.089702574911396,1.215175527943265,-0.19370604907181538,1.2354187307904783,abnormal
AEI1,27.720307620108176,-0.05501563792554799,6.861889993636652,74.93633957422988,1.1638636893121133,18.140126615776506,2.398154367357861,-0.9619804429303365,2.4208467084658913,normal
AEJ1,18.95320880541872,0.3609235344827592,4.918389716748768,62.79345953136566,1.2280815647816214,15.668679860416297,3.105518174436321,3.832728883176247,3.1361086533534794,abnormal
AEL1,35.39544080968272,1.154028314402638,10.846533156782904,81.14378144923238,2.8457102606768503,24.012826961282144,1.9182609707319767,2.601011096022871,1.9418712512471092,abnormal
AEM1,72.34034002409467,0.3213399985826684,18.581348026362413,108.77381382403533,1.6493583872721378,27.523957819358028,0.863379814072442,1.60977031718326,0.8921678647575645,abnormal
AEN1,68.9417003409656,-1.8797620936234676,19.834130241754078,103.90999511591728,3.751500479838821,29.584788792698934,0.8668391851875902,-2.0120151522397136,0.894467333523131,abnormal
AEO1,37.86581368509774,0.8148645710222867,10.21955247037109,85.4327525457194,1.9964971448323132,22.64808660289325,1.8527889208793789,2.4879821961579354,1.8845352980880725,abnormal
AEP1,39.2569211622222,0.13712666119901065,9.373972863433316,87.94755774503498,0.6400678105225235,20.68951285098689,1.8247719658923278,2.4705035724642195,1.8316998548248722,normal
AEQ1,44.384511151368756,0.2223752703013586,10.548242581090406,92.77187552736575,1.3697260698738982,21.471523521014525,1.6509016857095784,3.5456102123877917,1.6790010091728946,abnormal
AER1,27.34884126274902,0.8315759877514066,9.084723721523211,71.24622535042859,2.608018674321226,22.65634326025298,2.330907680389252,3.405535389337539,2.3950329836166726,abnormal
