Image,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,label
AEM1,206.98526256112254,255.0,81.15699672511576,11.546689550701196,-1.7748834743666018,abnormal
AEN1,210.5946613627574,255.0,78.0983304359049,13.228117761243038,-1.7057472953414525,abnormal
AEO1,221.57533537059098,255.0,71.926399177796,20.42142256603668,-1.39411947538703,abnormal
AEP1,224.14206088209767,255.0,69.64797399759944,22.71255957227848,-1.3291674120613723,normal
AEQ1,217.629681389464,255.0,75.84209414862585,17.38217935890139,-1.4782154566025958,abnormal
AER1,212.52223036412164,255.0,78.9427432207777,14.293444501426436,-1.6142498183936262,abnormal
AES1,209.31546194192654,255.0,81.97121810134968,12.790217041307557,-1.6719723989555273,abnormal
AET1,203.03200452716297,255.0,82.52464317070984,10.404265316898075,-1.8891809819281413,abnormal
AEU1,205.6447898147617,255.0,83.8665443689509,11.092164253932845,-1.765491015157789,abnormal
AEV1,205.53597501622323,255.0,82.58102780180396,11.20280600934729,-1.796926956485382,normal
AEW1,212.7779871900953,255.0,78.08213749227312,14.310172271572842,-1.6222153042653162,normal
AEX1,203.29869976199492,255.0,84.38869512414607,10.226281471089592,-1.8379701272289903,abnormal
AEY1,209.0535269978869,255.0,81.15010221104323,12.582877985523721,-1.6985735723150024,abnormal
AFA1,214.4914939206339,255.0,77.23275821969116,15.388607891083758,-1.5734970631557001,abnormal
AFB1,214.45274671999516,255.0,75.78864851653556,15.267009658601076,-1.6050129171187784,abnormal
AFC1,209.975289301082,255.0,80.97591119943222,13.03797570885467,-1.6680779517761215,normal
AFE1,231.9939703525641,255.0,60.35968383657445,33.507091790305346,-1.1434468266794788,normal
AFH1,204.98478315322407,255.0,82.02499871040224,10.982613628676374,-1.8292673319030397,normal
AFI1,220.0714610248851,255.0,72.9366082552674,19.10879306733638,-1.4366669829039818,normal
AFJ1,214.96650219298246,255.0,77.58909795401657,15.634675969711186,-1.5479042363945328,normal
AFK1,214.01097929892074,255.0,75.97234351780132,15.010278378745443,-1.618576661050675,normal
AFL1,219.2263577063107,255.0,74.52167310175876,18.373925051329316,-1.4401303998438417,normal
AGA1,220.1621164259928,255.0,72.97583761702103,19.13056135484217,-1.432167880970573,normal
AGB1,203.99040094339622,255.0,83.32401288032612,10.612299971779008,-1.8365509758825287,normal
AGM1,238.80105137899352,255.0,53.01795675400472,51.9523406607989,-0.9166110661054222,normal
AGO1,236.4334480780264,255.0,56.44944346815737,43.819568581841125,-0.9867175359725288,normal
AGV1,197.58009667515842,255.0,86.7763828785167,8.69553458586837,-1.9850989896142726,normal
AGW1,243.07932495023914,255.0,46.35095876121076,73.56029375016648,-0.7715487684628083,normal
AGX1,192.90573266367082,255.0,90.20940459372888,7.514730554932456,-2.065004229303354,normal
AGY1,204.19979278673836,255.0,83.29787051691031,10.672794983405378,-1.8295860469667837,normal
AHA1,234.58100036516024,255.0,58.3663580504595,38.83176821950357,-1.0495258047720013,normal
AHD1,226.09789298828466,255.0,68.02589194939215,24.885573121153865,-1.2746076317477937,normal
AHQ1,222.613395027751,255.0,72.18151304733331,21.22476408582769,-1.346048466080699,normal
AHR1,216.48103384074258,255.0,75.57367118663618,16.626610917097082,-1.5290629218262244,normal
AHS1,222.53749433701756,255.0,70.22190693381178,21.287048182978143,-1.3868537788462607,normal
AHT1,239.04645994675906,255.0,53.79167731308116,52.90763939717776,-0.8897402451528313,normal
AIB1,218.54459575997126,255.0,74.92636633375437,18.104055559400447,-1.4596492272549546,normal
AID1,240.96526700099645,255.0,50.32485634192758,61.914263829615976,-0.8366481706562175,normal
AIF1,215.95192745551353,255.0,74.89606002349012,16.2931179463861,-1.5640905222079604,normal
AIH1,237.2090623992497,255.0,55.70465668047393,46.32377541815281,-0.9581391571695949,normal
AIL1,239.4876032443167,255.0,52.03346966332679,54.45137363437032,-0.8943703075762669,normal
AIO1,212.57675425173787,255.0,77.2905790334128,14.281898316850974,-1.646639717756126,normal
AJA1,224.00908967507428,255.0,70.04836468062547,22.686175986187425,-1.3272648319296496,abnormal
AJC1,209.72876683501684,255.0,78.62330518208579,13.120419431244166,-1.72739748323242,normal
AJE1,220.94070135562953,255.0,73.30169940691917,19.873172225163042,-1.393936249225165,normal
AJG1,237.8668573130443,255.0,54.70227228654057,48.51099722546544,-0.9396214437240819,normal
AJL1,208.76789189586165,255.0,81.41140740978248,12.503228715630247,-1.703647298643177,normal
AJN1,231.42454964948087,255.0,62.649117770607084,32.60388870478493,-1.1289281249023413,normal
AJP1,215.89266654398233,255.0,76.31823977416997,16.22375805491345,-1.5372734056133306,abnormal
AJW1,218.5922744157615,255.0,75.18129398516368,18.01650537671542,-1.452797244674582,normal
AJZ1,211.2530951473499,255.0,79.92802720350083,13.67054534782903,-1.6419861611722846,normal
AKB1,245.50229016135543,255.0,41.099082323556274,95.8136181798865,-0.693278971331256,normal
AKJ1,232.20164833873773,255.0,58.81903640825563,34.33953898159933,-1.1628047509834272,normal
AKZ1,185.62570979023704,248.0,91.42939088199189,6.061792383248083,-2.0466380539580404,normal
ALC1,221.54860542505804,255.0,71.59943059576459,20.26992263566017,-1.401605891133473,normal
ALF1,218.65120797011207,255.0,73.30469942972752,17.68378821922887,-1.4875768803090108,normal
ALI1,204.85019373689894,255.0,81.40391673709242,11.007415094861631,-1.8481840287268334,normal
ALU1,223.71010500946807,255.0,70.5162532019046,22.3577157502349,-1.3311780009471694,normal
AMC1,230.29290761737465,255.0,63.08817910815478,30.72339959275633,-1.1748837610419338,normal
AMF1,215.8834835257674,255.0,73.74886237036068,16.29589176668218,-1.591204876264777,normal
AMK1,229.43568608165128,255.0,65.24982766808665,29.235853145342965,-1.175373859148999,normal
AMT1,207.22443387832058,255.0,82.25089724935843,11.839471678459415,-1.742554831110444,normal
AMY1,195.41252150537633,255.0,87.434145929349,8.100914130712606,-2.0445380186857394,normal
ANC1,227.50940622164427,255.0,64.56426737762415,26.61365014609316,-1.2773595161036273,normal
ANP1,229.29762210796915,255.0,65.31380577059593,29.220204434151263,-1.1805640900320333,normal
ANS1,197.38997113997115,255.0,88.59725926411996,8.559714335564603,-1.9507385218865245,normal
ANV1,231.00776664754423,255.0,62.84885511091844,31.976606549709068,-1.1452348643478014,normal
AOP1,229.11375701991838,255.0,63.82037433630765,28.615805796048594,-1.2168328648624755,normal
